Date,Close,Volume,Name
01-10-2010,9.29,3603800,Aviation-American
04-10-2010,9.12,3856800,Aviation-American
05-10-2010,9.23,3896600,Aviation-American
06-10-2010,9.23,3230200,Aviation-American
07-10-2010,9.24,3877700,Aviation-American
08-10-2010,9.07,4455700,Aviation-American
11-10-2010,9,2231500,Aviation-American
12-10-2010,9.55,10884900,Aviation-American
13-10-2010,9.8,7754800,Aviation-American
14-10-2010,9.78,3760500,Aviation-American
15-10-2010,9.7,3410500,Aviation-American
18-10-2010,10.12,6040200,Aviation-American
19-10-2010,10.09,8197200,Aviation-American
20-10-2010,10.84,19890000,Aviation-American
21-10-2010,10.75,9956400,Aviation-American
22-10-2010,10.81,3485500,Aviation-American
25-10-2010,11.58,12724300,Aviation-American
26-10-2010,11.73,9933800,Aviation-American
27-10-2010,12,6854000,Aviation-American
28-10-2010,11.88,6836500,Aviation-American
29-10-2010,11.79,5499700,Aviation-American
01-11-2010,11.66,4875500,Aviation-American
02-11-2010,11.92,3393600,Aviation-American
03-11-2010,12.07,5059800,Aviation-American
04-11-2010,11.56,10437800,Aviation-American
05-11-2010,11.57,5840100,Aviation-American
08-11-2010,11.23,8714900,Aviation-American
09-11-2010,10.99,5591600,Aviation-American
10-11-2010,10.78,5518700,Aviation-American
11-11-2010,10.82,3979000,Aviation-American
12-11-2010,10.63,3097700,Aviation-American
15-11-2010,10.71,3616900,Aviation-American
16-11-2010,10.69,6429600,Aviation-American
17-11-2010,10.7,3424300,Aviation-American
18-11-2010,11.02,5275000,Aviation-American
19-11-2010,11.08,3227000,Aviation-American
22-11-2010,11.18,3508200,Aviation-American
23-11-2010,11.1,3572000,Aviation-American
24-11-2010,11.74,7712500,Aviation-American
26-11-2010,11.7,2492400,Aviation-American
29-11-2010,11.28,6213900,Aviation-American
30-11-2010,11.16,3925200,Aviation-American
01-12-2010,11.26,3960400,Aviation-American
02-12-2010,11.11,4369900,Aviation-American
03-12-2010,11.04,4250600,Aviation-American
06-12-2010,11.15,4366200,Aviation-American
07-12-2010,10.55,8465700,Aviation-American
08-12-2010,10.97,6913200,Aviation-American
09-12-2010,10.91,4127800,Aviation-American
10-12-2010,10.93,2984700,Aviation-American
13-12-2010,10.51,5254100,Aviation-American
14-12-2010,10.53,4353300,Aviation-American
15-12-2010,10.14,5150200,Aviation-American
16-12-2010,10.13,3652300,Aviation-American
17-12-2010,10.06,4170500,Aviation-American
20-12-2010,10.18,3808600,Aviation-American
21-12-2010,10.52,4933600,Aviation-American
22-12-2010,10.32,3112800,Aviation-American
23-12-2010,9.91,5246300,Aviation-American
